resume_id,name,education,major,skills,experience_years,city,expected_salary,certificates,project_experience,self_description
R001,张同学,本科,数据科学与大数据技术,Python;SQL;Spark;数据分析,0,南昌,5000,英语四级;计算机二级,做过数据分析课程项目，使用Python进行数据清洗和可视化,熟悉Python和数据清洗
R002,李同学,硕士,计算机科学与技术,Java;Python;MySQL;Spring Boot;Hadoop,1,北京,12000,英语六级;软考中级,参与过企业级Java项目开发，熟悉微服务架构,精通Java开发，有实际项目经验
R003,王同学,本科,软件工程,Python;SQL;Excel;数据可视化,0,上海,6000,英语四级,毕业设计做了数据可视化大屏,对数据分析感兴趣
R004,赵同学,大专,计算机应用技术,Java;HTML;CSS;JavaScript,2,深圳,8000,,在一家外包公司做过前端开发,两年开发经验
R005,孙同学,硕士,统计学,R;Python;SQL;SAS;机器学习,0,南昌,7000,英语六级;计算机二级,参与导师的统计建模项目,熟悉统计分析和机器学习
R006,周同学,本科,数据科学与大数据技术,Python;Spark;Hadoop;SQL;Hive,0,杭州,5500,英语四级;计算机二级,课程做过Spark数据处理项目,学习能力强
R007,吴同学,硕士,人工智能,Python;TensorFlow;PyTorch;SQL,1,北京,15000,英语六级,发表过一篇NLP方向的论文,专注深度学习方向
R008,郑同学,本科,信息管理与信息系统,SQL;Python;Excel;Tableau,1,深圳,7000,英语四级,实习参与过BI报表搭建,熟悉数据分析和BI工具
R009,钱同学,本科,数学与应用数学,Python;MATLAB;SQL,0,武汉,5000,英语四级;计算机二级,数学建模竞赛获奖,数学基础扎实
R010,刘同学,本科,计算机科学与技术,C++;Python;Linux,0,北京,6000,,做过嵌入式系统项目,对底层技术感兴趣
R011,陈同学,本科,电子商务,Python;SQL;Excel;PPT,1,广州,5500,英语四级,运营过一个电商店铺,有数据分析基础
R012,黄同学,硕士,软件工程,Java;Python;Go;Docker;K8s,2,上海,18000,英语六级,在互联网公司做过后端开发实习,有微服务项目经验
R013,林同学,本科,网络工程,Python;Shell;Linux;网络安全,0,南昌,5000,英语四级,参加过网络安全CTF比赛,熟悉Linux系统管理
R014,杨同学,大专,软件技术,Java;Spring;MySQL,1,成都,6500,,做过一个小型CRM系统,能独立完成Java Web项目
R015,许同学,硕士,计算机科学与技术,Python;Spark;Scala;Kafka,0,杭州,7000,英语六级,研究大数据流处理方向,对大数据生态有系统学习
R016,何同学,本科,物联网工程,C;Python;嵌入式;传感器,0,南京,5000,英语四级,做过智能家居原型项目,对物联网有热情
R017,吕同学,硕士,人工智能,Python;NLP;Transformer;BERT,0,北京,13000,英语六级;软考中级,做过情感分析和文本分类项目,专注NLP方向
R018,施同学,本科,计算机科学与技术, ,2,深圳,9000,英语四级,全栈开发经验，Vue+SpringBoot,有全栈开发能力
R019,张同学二期,本科,数据科学与大数据技术,excel;hivesql,0,,5000,英语四级;计算机二级,课程设计做数据分析,认真负责
R020,小明,硕士,统计学,R;Python;SQL;SPSS;机器学习;深度学习,1,厦门,10000,英语六级,统计建模获奖，有数据分析实习经历,擅长统计建模
