resume_id,name,job_id,job_title,tfidf_score,word2vec_score,semantic_score
R001,张同学,J001,数据分析实习生,28.2,87.5,51.9
R001,张同学,J002,大数据开发实习生,12.9,80.8,40.1
R001,张同学,J003,Python开发工程师,3.3,83.3,35.3
R001,张同学,J004,机器学习实习生,1.0,82.5,33.6
R001,张同学,J005,Java后端工程师,0.9,72.4,29.5
R001,张同学,J006,数据工程师,8.3,77.9,36.1
R001,张同学,J007,自然语言处理实习生,1.1,73.0,29.9
R001,张同学,J008,前端开发工程师,0.0,79.2,31.7
R001,张同学,J009,数据分析师,9.1,84.7,39.3
R001,张同学,J010,大数据运维工程师,15.2,85.5,43.3
R001,张同学,J011,AI算法实习生,1.1,82.9,33.8
R001,张同学,J012,数据分析岗,5.6,77.3,34.3
R002,李同学,J001,数据分析实习生,4.5,82.6,35.7
R002,李同学,J002,大数据开发实习生,11.4,77.0,37.6
R002,李同学,J003,Python开发工程师,6.9,79.5,35.9
R002,李同学,J004,机器学习实习生,0.5,77.5,31.3
R002,李同学,J005,Java后端工程师,22.5,87.5,48.5
R002,李同学,J006,数据工程师,1.4,59.9,24.8
R002,李同学,J007,自然语言处理实习生,0.5,67.4,27.3
R002,李同学,J008,前端开发工程师,0.0,73.7,29.5
R002,李同学,J009,数据分析师,1.5,76.1,31.3
R002,李同学,J010,大数据运维工程师,3.7,63.8,27.7
R002,李同学,J011,AI算法实习生,0.5,76.5,30.9
R002,李同学,J012,数据分析岗,3.9,76.3,32.9
R003,王同学,J001,数据分析实习生,22.1,82.9,46.4
R003,王同学,J002,大数据开发实习生,7.8,73.5,34.1
R003,王同学,J003,Python开发工程师,2.3,74.2,31.1
R003,王同学,J004,机器学习实习生,0.6,78.7,31.8
R003,王同学,J005,Java后端工程师,1.0,66.3,27.1
R003,王同学,J006,数据工程师,4.5,75.5,32.9
R003,王同学,J007,自然语言处理实习生,0.6,77.3,31.3
R003,王同学,J008,前端开发工程师,0.0,71.5,28.6
R003,王同学,J009,数据分析师,16.4,87.0,44.6
R003,王同学,J010,大数据运维工程师,5.9,70.0,31.5
R003,王同学,J011,AI算法实习生,0.6,83.1,33.6
R003,王同学,J012,数据分析岗,10.9,77.9,37.7
R004,赵同学,J001,数据分析实习生,0.0,61.7,24.7
R004,赵同学,J002,大数据开发实习生,3.6,67.6,29.2
R004,赵同学,J003,Python开发工程师,0.0,54.5,21.8
R004,赵同学,J004,机器学习实习生,0.0,67.8,27.1
R004,赵同学,J005,Java后端工程师,5.1,66.8,29.8
R004,赵同学,J006,数据工程师,0.0,61.0,24.4
R004,赵同学,J007,自然语言处理实习生,0.0,67.2,26.9
R004,赵同学,J008,前端开发工程师,25.4,71.7,43.9
R004,赵同学,J009,数据分析师,0.0,67.7,27.1
R004,赵同学,J010,大数据运维工程师,0.0,59.5,23.8
R004,赵同学,J011,AI算法实习生,4.6,76.7,33.4
R004,赵同学,J012,数据分析岗,0.0,59.7,23.9
R005,孙同学,J001,数据分析实习生,10.5,83.7,39.8
